,Most-recent transaction,Date,Shares owned as of transaction date
Gangopadhyay (Manish),Other,29-May-2020,"1,739"
Gaurav (Bhatnagar),Other,29-May-2020,"4,427"
Gopalakrishnan (Anila),Other,29-May-2020,"3,650"
Gopalakrishnan (Asha),Other,29-May-2020,"15,825"
Gopinath (Krishnan),Other,29-May-2020,"3,981"
Gossain (Kabir Mohan),Other,29-May-2020,"1,541"
Guniti (Sanmukha Rao),Other,29-May-2020,"2,744"
Gupta (Gaurav),Other,29-May-2020,"1,444"
Gupta (Sudip),Other,29-May-2020,"7,697"
Hariharan (V),Other,29-May-2020,"9,095"
