,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"18,59,000","7,28,000","2,27,000"
Other short-term investments,"5,06,17,000","1,24,24,000","2,19,31,000"
Total cash,"5,24,76,000","1,31,52,000","2,21,58,000"
Net receivables,"2,31,28,000","1,46,54,000","1,20,26,000"
Inventory,"3,32,26,000","3,16,02,000","3,26,37,000"
Other current assets,"48,68,000","1,25,62,000","1,49,75,000"
Total current assets,"12,37,27,000","7,93,00,000","8,79,80,000"
"Gross property, plant and equipment","27,06,50,000","22,95,04,000","19,34,37,000"
Accumulated depreciation,"-10,47,19,000","-7,74,12,000","-5,15,37,000"
"Net property, plant and equipment","16,59,31,000","15,20,92,000","14,19,00,000"
Intangible assets,"45,11,000","31,17,000","37,30,000"
Other long-term assets,"86,94,000","1,52,000","81,89,000"
Total non-current assets,"51,59,60,000","52,31,84,000","43,16,25,000"
Total assets,"63,96,87,000","60,24,84,000","51,96,05,000"
Current debt,"15,16,000","11,08,000","48,36,000"
Accounts payable,"9,63,77,000","10,49,93,000","8,36,92,000"
Other current liabilities,-,-,"48,000"
Total current liabilities,"14,16,05,000","15,44,85,000","13,23,68,000"
Long-term debt,"80,000","1,00,000",0
Deferred tax liabilities,"61,39,000","60,20,000","50,58,000"
Deferred revenues,"2,03,71,000","1,58,59,000",-
Other long-term liabilities,-,-,"1,10,55,000"
Total non-current liabilities,"2,69,85,000","2,22,44,000","1,63,32,000"
Total liabilities,"16,85,90,000","17,67,29,000","14,87,00,000"
Common stock,"15,10,000","15,10,000","15,10,000"
Retained earnings,"41,65,20,000","37,10,27,000","31,96,27,000"
Total stockholders' equity,"47,09,21,000","42,55,94,000","37,07,51,000"
Total liabilities and stockholders' equity,"63,96,87,000","60,24,84,000","51,96,05,000"
