,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"11,42,100","14,22,000","5,17,700","4,54,000"
Other short-term investments,"3,51,99,400","32,35,500","2,20,40,300","73,91,700"
Total cash,"3,63,41,500","46,57,500","2,25,58,000","78,45,700"
Net receivables,"1,08,04,500","1,02,37,100","45,92,500","33,51,200"
Inventory,"1,71,34,900","1,87,03,100","1,56,90,200","1,31,45,000"
Other current assets,-,-,-,"1,000"
Total current assets,"7,89,38,200","4,71,92,200","5,70,02,500","3,28,21,900"
"Gross property, plant and equipment","13,52,89,500","11,68,90,300","7,95,37,300","5,32,73,300"
Accumulated depreciation,"-6,22,24,200","-4,42,44,200","-2,94,94,700","-2,03,05,500"
"Net property, plant and equipment","7,30,65,300","7,26,46,100","5,00,42,600","3,29,67,800"
Intangible assets,"5,32,100","4,64,900","1,20,700","1,27,800"
Other long-term assets,-,-,-,"41,44,400"
Total non-current assets,"12,05,03,300","10,77,38,300","9,44,14,200","7,88,37,900"
Total assets,"19,94,41,500","15,49,30,500","15,14,16,700","11,16,59,800"
Current debt,"1,50,69,700","49,21,700","1,19,33,900","77,41,200"
Accounts payable,"65,76,500","53,81,900","72,72,800","35,16,900"
Other current liabilities,"26,27,300","26,13,500","26,06,500","25,97,100"
Total current liabilities,"3,40,79,200","2,12,65,800","2,96,71,500","1,98,90,200"
Long-term debt,"1,63,87,000","2,30,34,800","2,20,16,800","51,87,400"
Deferred tax liabilities,"1,700","2,500",-,-
Deferred revenues,"77,90,200","59,99,000","49,69,700","34,73,600"
Other long-term liabilities,"60,76,400","55,77,300","53,65,700","58,73,600"
Total non-current liabilities,"3,29,79,900","3,63,32,400","3,27,78,600","1,47,89,600"
Total liabilities,"6,70,59,100","5,75,98,200","6,24,50,100","3,46,79,800"
Common stock,"3,60,800","3,48,400","3,48,400","3,48,400"
Retained earnings,"4,52,30,900","3,90,79,300","3,33,41,300","2,63,21,400"
Total stockholders' equity,"13,16,94,300","9,67,07,500","8,89,66,600","7,69,80,000"
Total liabilities and stockholders' equity,"19,94,41,500","15,49,30,500","15,14,16,700","11,16,59,800"
