,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"5,26,37,500","5,26,37,500","3,99,49,900","2,67,41,100","1,83,63,800"
Depreciation & amortisation,"29,46,300","29,46,300","14,41,500","10,20,700","7,11,700"
Stock-based compensation,"10,07,600","10,07,600","7,47,900",-,-
Change in working capital,"-34,27,88,900","-34,27,88,900","-34,61,40,000","-24,39,25,400","-13,61,34,700"
Other working capital,"-24,93,33,200","-24,93,33,200","-29,54,49,200","-20,66,92,700","-10,64,84,300"
Other non-cash items,"97,69,100","97,69,100","8,44,700","4,61,62,000","3,72,34,200"
Net cash provided by operating activities,"-24,42,61,800","-24,42,61,800","-29,14,66,900","-20,46,13,900","-10,49,92,900"
"Investments in property, plant and equipment","-50,71,400","-50,71,400","-39,82,300","-20,78,800","-14,91,400"
Purchases of investments,"-4,45,35,46,300","-4,45,35,46,300","-4,75,92,02,900","-2,26,23,87,400","-1,30,73,64,000"
Sales/maturities of investments,"4,36,96,17,300","4,36,96,17,300","4,70,79,16,800","2,27,41,67,700","1,27,83,77,400"
Net cash used for investing activities,"-8,75,68,800","-8,75,68,800","-5,37,57,900","97,11,700","-2,98,60,400"
Net change in cash,"99,75,000","99,75,000","88,500","1,30,600","-97,18,900"
Cash at beginning of period,"34,70,200","34,70,200","33,81,700","32,49,100","1,32,75,200"
Cash at end of period,"1,34,45,200","1,34,45,200","34,70,200","33,79,700","35,56,300"
Operating cash flow,"-24,42,61,800","-24,42,61,800","-29,14,66,900","-20,46,13,900","-10,49,92,900"
Capital expenditure,"-50,71,400","-50,71,400","-39,82,300","-20,78,800","-14,91,400"
Free cash flow,"-24,93,33,200","-24,93,33,200","-29,54,49,200","-20,66,92,700","-10,64,84,300"
