,0,1,2
26-May-2010,15, ,Dividend
21-Oct-2010,10, ,Dividend
26-May-2011,20, ,Dividend
20-Oct-2011,15, ,Dividend
24-May-2012,22, ,Dividend
18-Oct-2012,15, ,Dividend
30-May-2013,27, ,Dividend
17-Oct-2013,20, ,Dividend
02-Dec-2014,2:1, ,Stock split
16-Oct-2014,30, ,Dividend
15-Jun-2015,2:1, ,Stock split
12-Jun-2015,29.5, ,Dividend
09-Jun-2016,14.25, ,Dividend
21-Oct-2016,11, ,Dividend
31-Oct-2017,6.5, ,Dividend
14-Jun-2018,5, ,Dividend
04-Sep-2018,2:1, ,Stock split
03-Sep-2018,2:1, ,Stock split
13-Jun-2019,10.5, ,Dividend
23-Oct-2019,8, ,Dividend
22-Oct-2019,8, ,Dividend
