value1,value2,value3,value4
Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
2,2,39,38
40.85B,41.22B,162.89B,201.17B
40.71B,40.45B,150.11B,173.41B
40.99B,41.98B,176.82B,234.97B
4.61,5.06,N/A,N/A
Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
33.11B,35.76B,129.61B,162.89B
23.40%,15.30%,25.70%,23.50%
31/12/2017,31/3/2018,30/6/2018,30/9/2018
4.85,4.75,5.17,5.28
4.61,5.06,5.39,4.06
-0.24,0.31,0.22,-1.22
-4.90%,6.50%,4.30%,-23.10%
Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
0,0,0,0
5.1,5.15,20.58,25.99
5.1,5.15,20.58,25.99
5.1,5.15,20.58,25.99
5.1,5.15,20.58,25.99
Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,1,1
YESBANK.NS,Industry,Sector,S&P 500
N/A,N/A,N/A,-0.44
N/A,N/A,N/A,-0.16
N/A,N/A,N/A,-0.22
N/A,N/A,N/A,0.30
23.17%,N/A,N/A,0.03
N/A,N/A,N/A,N/A
