ttm,31/3/2019,31/3/2018,31/3/2017
"-20,60,62,242","1,70,92,658","4,23,32,200","3,33,98,856"
-,"30,54,514","23,23,569","17,26,068"
"7,32,34,127","-30,60,20,373","-27,66,92,805","17,42,811"
-,"-24,87,64,870","-22,20,36,969","3,99,49,201"
-,"21,02,585","16,73,308","7,89,586"
-,"-24,57,33,011","-21,81,04,444","4,38,41,385"
"-41,51,859","-30,31,859","-39,32,525","-38,92,184"
-,-,-,1
-,"-6,29,36,887","-8,74,48,959","-4,47,38,722"
-,"2,23,11,137","5,19,91,595","11,33,57,539"
-,"24,75,38,171","19,55,46,577","8,21,89,038"
-,"26,98,49,307","24,75,38,171","19,55,46,577"
-,"-24,57,33,011","-21,81,04,444","4,38,41,385"
"-41,51,859","-30,31,859","-39,32,525","-38,92,184"
-,"-24,87,64,870","-22,20,36,969","3,99,49,201"
